date,exists,filename,version,revision,n_lpw_l2_files,status
2014-10-01,no,,,,0,no_mrgscpot
2014-10-02,no,,,,0,no_mrgscpot
2014-10-03,no,,,,0,no_mrgscpot
2014-10-04,no,,,,0,no_mrgscpot
2014-10-05,no,,,,0,no_mrgscpot
2014-10-06,no,,,,0,no_mrgscpot
2014-10-07,no,,,,0,no_mrgscpot
2014-10-08,no,,,,0,no_mrgscpot
2014-10-09,no,,,,0,no_mrgscpot
2014-10-10,no,,,,0,no_mrgscpot
2014-10-11,no,,,,3,no_mrgscpot
2014-10-12,yes,mvn_lpw_l2_mrgscpot_20141012_v02_r02.cdf,2,2,9,ok
2014-10-13,yes,mvn_lpw_l2_mrgscpot_20141013_v02_r02.cdf,2,2,9,ok
2014-10-14,yes,mvn_lpw_l2_mrgscpot_20141014_v02_r03.cdf,2,3,9,ok
2014-10-15,yes,mvn_lpw_l2_mrgscpot_20141015_v02_r02.cdf,2,2,9,ok
2014-10-16,yes,mvn_lpw_l2_mrgscpot_20141016_v02_r02.cdf,2,2,9,ok
2014-10-17,yes,mvn_lpw_l2_mrgscpot_20141017_v02_r02.cdf,2,2,9,ok
2014-10-18,yes,mvn_lpw_l2_mrgscpot_20141018_v02_r02.cdf,2,2,9,ok
2014-10-19,yes,mvn_lpw_l2_mrgscpot_20141019_v02_r01.cdf,2,1,9,ok
2014-10-20,yes,mvn_lpw_l2_mrgscpot_20141020_v02_r02.cdf,2,2,9,ok
2014-10-21,yes,mvn_lpw_l2_mrgscpot_20141021_v02_r02.cdf,2,2,9,ok
2014-10-22,yes,mvn_lpw_l2_mrgscpot_20141022_v02_r02.cdf,2,2,9,ok
2014-10-23,yes,mvn_lpw_l2_mrgscpot_20141023_v02_r02.cdf,2,2,9,ok
2014-10-24,yes,mvn_lpw_l2_mrgscpot_20141024_v02_r02.cdf,2,2,9,ok
2014-10-25,yes,mvn_lpw_l2_mrgscpot_20141025_v02_r02.cdf,2,2,9,ok
2014-10-26,no,,,,0,no_mrgscpot
2014-10-27,no,,,,0,no_mrgscpot
2014-10-28,no,,,,0,no_mrgscpot
2014-10-29,yes,mvn_lpw_l2_mrgscpot_20141029_v02_r02.cdf,2,2,9,ok
2014-10-30,yes,mvn_lpw_l2_mrgscpot_20141030_v02_r02.cdf,2,2,9,ok
2014-10-31,yes,mvn_lpw_l2_mrgscpot_20141031_v02_r02.cdf,2,2,9,ok
2014-11-01,yes,mvn_lpw_l2_mrgscpot_20141101_v02_r02.cdf,2,2,9,ok
2014-11-02,yes,mvn_lpw_l2_mrgscpot_20141102_v02_r02.cdf,2,2,9,ok
2014-11-03,yes,mvn_lpw_l2_mrgscpot_20141103_v02_r02.cdf,2,2,9,ok
2014-11-04,yes,mvn_lpw_l2_mrgscpot_20141104_v02_r02.cdf,2,2,9,ok
2014-11-05,yes,mvn_lpw_l2_mrgscpot_20141105_v02_r02.cdf,2,2,9,ok
2014-11-06,yes,mvn_lpw_l2_mrgscpot_20141106_v02_r02.cdf,2,2,9,ok
2014-11-07,yes,mvn_lpw_l2_mrgscpot_20141107_v02_r02.cdf,2,2,9,ok
2014-11-08,yes,mvn_lpw_l2_mrgscpot_20141108_v02_r02.cdf,2,2,9,ok
2014-11-09,yes,mvn_lpw_l2_mrgscpot_20141109_v02_r02.cdf,2,2,9,ok
2014-11-10,yes,mvn_lpw_l2_mrgscpot_20141110_v02_r02.cdf,2,2,9,ok
2014-11-11,yes,mvn_lpw_l2_mrgscpot_20141111_v02_r02.cdf,2,2,9,ok
2014-11-12,yes,mvn_lpw_l2_mrgscpot_20141112_v02_r02.cdf,2,2,9,ok
2014-11-13,yes,mvn_lpw_l2_mrgscpot_20141113_v02_r01.cdf,2,1,8,ok
2014-11-14,yes,mvn_lpw_l2_mrgscpot_20141114_v02_r02.cdf,2,2,8,ok
2014-11-15,yes,mvn_lpw_l2_mrgscpot_20141115_v02_r01.cdf,2,1,8,ok
2014-11-16,yes,mvn_lpw_l2_mrgscpot_20141116_v02_r01.cdf,2,1,8,ok
2014-11-17,yes,mvn_lpw_l2_mrgscpot_20141117_v02_r02.cdf,2,2,8,ok
2014-11-18,yes,mvn_lpw_l2_mrgscpot_20141118_v02_r02.cdf,2,2,8,ok
2014-11-19,yes,mvn_lpw_l2_mrgscpot_20141119_v02_r02.cdf,2,2,8,ok
2014-11-20,no,,,,0,no_mrgscpot
2014-11-21,no,,,,0,no_mrgscpot
2014-11-22,no,,,,0,no_mrgscpot
2014-11-23,no,,,,0,no_mrgscpot
2014-11-24,no,,,,0,no_mrgscpot
2014-11-25,no,,,,0,no_mrgscpot
2014-11-26,no,,,,0,no_mrgscpot
2014-11-27,yes,mvn_lpw_l2_mrgscpot_20141127_v02_r02.cdf,2,2,6,ok
2014-11-28,yes,mvn_lpw_l2_mrgscpot_20141128_v02_r02.cdf,2,2,6,ok
