Instrument,DataType,Variable,DType,Shape,Units,Format,Alias,FileKind,SourceFile
euv,bands,counts,float32,"[86393, 3]",,,,cdf,mvn_euv_l2_bands_20241107_v18_r01.cdf
euv,bands,data,float32,"[86393, 3]",,,,cdf,mvn_euv_l2_bands_20241107_v18_r01.cdf
euv,bands,ddata,float32,"[86393, 3]",,,,cdf,mvn_euv_l2_bands_20241107_v18_r01.cdf
euv,bands,dfreq,float32,"[86393, 3]",,,,cdf,mvn_euv_l2_bands_20241107_v18_r01.cdf
euv,bands,epoch,int64,[86393],,,,cdf,mvn_euv_l2_bands_20241107_v18_r01.cdf
euv,bands,flag,int16,[86393],,,,cdf,mvn_euv_l2_bands_20241107_v18_r01.cdf
euv,bands,maven_sun_distance,float64,[86393],,,,cdf,mvn_euv_l2_bands_20241107_v18_r01.cdf
euv,bands,time_unix,float64,[86393],,,,cdf,mvn_euv_l2_bands_20241107_v18_r01.cdf
lpw,lpiv,data,float32,"[7982, 128]",,,,cdf,mvn_lpw_l2_lpiv_20241107_v03_r01.cdf
lpw,lpiv,ddata,float32,"[7982, 128]",,,,cdf,mvn_lpw_l2_lpiv_20241107_v03_r01.cdf
lpw,lpiv,dvolt,float32,"[7982, 128]",,,,cdf,mvn_lpw_l2_lpiv_20241107_v03_r01.cdf
lpw,lpiv,epoch,int64,[7982],,,,cdf,mvn_lpw_l2_lpiv_20241107_v03_r01.cdf
lpw,lpiv,flag,float32,[7982],,,,cdf,mvn_lpw_l2_lpiv_20241107_v03_r01.cdf
lpw,lpiv,info,float32,[7982],,,,cdf,mvn_lpw_l2_lpiv_20241107_v03_r01.cdf
lpw,lpiv,time_unix,float64,[7982],,,,cdf,mvn_lpw_l2_lpiv_20241107_v03_r01.cdf
lpw,lpiv,volt,float32,"[7982, 128]",,,,cdf,mvn_lpw_l2_lpiv_20241107_v03_r01.cdf
mag,sunstate-1sec,DDAY,float,[86399],,F13.9,DECIMAL_DAY,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,OB_B.RANGE,float,[86399],,"1X,F3.0",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,OB_B.X,float,[86399],NT,"1X,F9.2",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,OB_B.Y,float,[86399],NT,"1X,F9.2",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,OB_B.Z,float,[86399],NT,"1X,F9.2",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,OB_BDPL.RANGE,float,[86399],,"1X,F4.0",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,OB_BDPL.X,float,[86399],NT,"1X,F7.3",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,OB_BDPL.Y,float,[86399],NT,"1X,F7.3",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,OB_BDPL.Z,float,[86399],NT,"1X,F7.3",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,POSN.X,float,[86399],KILOMETERS,"1X,F14.3",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,POSN.Y,float,[86399],KILOMETERS,"1X,F14.3",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,POSN.Z,float,[86399],KILOMETERS,"1X,F14.3",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,TIME.DOY,int,[86399],,"1X,I3",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,TIME.HOUR,int,[86399],,"1X,I2",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,TIME.MIN,int,[86399],,"1X,I2",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,TIME.MSEC,int,[86399],,"1X,I3",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,TIME.SEC,int,[86399],,"1X,I2",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-1sec,TIME.YEAR,int,[86399],,"1X,I4",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-32sec,DDAY,float,[86399],,F13.9,DECIMAL_DAY,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-32sec,OB_B.RANGE,float,[86399],,"1X,F3.0",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-32sec,OB_B.X,float,[86399],NT,"1X,F9.2",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-32sec,OB_B.Y,float,[86399],NT,"1X,F9.2",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-32sec,OB_B.Z,float,[86399],NT,"1X,F9.2",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-32sec,OB_BDPL.RANGE,float,[86399],,"1X,F4.0",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
mag,sunstate-32sec,OB_BDPL.X,float,[86399],NT,"1X,F7.3",,text_odl,mvn_mag_l2_2024312ss1s_20241107_v01_r01.sts
